unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13861799,JJ286809,2025-06-08 21:30:00+00:00,0000X E WACKER DR,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42,32,08B,1176642.0,1902162.0,2025,2025-11-02 15:41:09+00:00,41.886882548,-87.626774469,"(41.886882548, -87.626774469)"
13961989,JJ408543,2025-09-09 21:15:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,MOVIE HOUSE / THEATER,True,False,111,1,42,32,08B,1176332.0,1901592.0,2025,2025-11-02 15:41:09+00:00,41.885325435,-87.627930066,"(41.885325435, -87.627930066)"
14058697,JJ525951,2025-12-17 18:02:00+00:00,001XX N CLARK ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,111,1,42,32,24,1175523.0,1901026.0,2025,2025-12-25 15:41:39+00:00,41.883790509,-87.630917839,"(41.883790509, -87.630917839)"
11937726,JC566723,2019-12-31 13:54:00+00:00,001XX N STATE ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,DEPARTMENT STORE,True,False,111,1,42,32,08B,1176352.0,1900927.0,2019,2020-01-07 18:57:13+00:00,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
13505534,JH318199,2024-06-23 13:37:00+00:00,002XX N STATE ST,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA PLATFORM,True,False,111,1,42,32,08B,1176327.0,1901797.0,2024,2025-05-17 15:40:52+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
7448955,HS208051,2010-03-12 12:05:00+00:00,005XX W LAKE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,False,True,111,1,42,28,08B,1172491.0,1901698.0,2010,2018-02-10 15:50:01+00:00,41.885702079,-87.642031644,"(41.885702079, -87.642031644)"
13219935,JG435405,2023-09-23 01:30:00+00:00,0000X E WACKER DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,111,1,42,32,08B,1176429.0,1902142.0,2023,2023-10-01 15:44:00+00:00,41.886832476,-87.627557257,"(41.886832476, -87.627557257)"
13250599,JG472137,2023-10-21 00:00:00+00:00,002XX N STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,False,True,111,1,42,32,08B,1176327.0,1901797.0,2023,2023-10-28 15:41:42+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
12647729,JF180391,2022-03-20 06:00:00+00:00,002XX N MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,111,1,42,32,08B,1177257.0,1901911.0,2022,2023-01-03 15:40:27+00:00,41.886179873,-87.624523664,"(41.886179873, -87.624523664)"
10172481,HY360364,2015-07-29 11:45:00+00:00,001XX N STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA STATION,False,True,111,1,42,32,08B,1176353.0,1900882.0,2015,2018-02-10 15:50:01+00:00,41.883376682,-87.627874384,"(41.883376682, -87.627874384)"
5862191,HN663762,2007-10-22 16:10:00+00:00,005XX W VAN BUREN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,COLLEGE/UNIVERSITY GROUNDS,False,True,111,1,2,28,08B,1172646.0,1898435.0,2007,2021-09-07 15:41:02+00:00,41.876744768,-87.641559043,"(41.876744768, -87.641559043)"
5887015,HN688085,2007-11-04 02:02:00+00:00,006XX W MONROE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,111,1,2,28,08B,1172243.0,1899816.0,2007,2018-02-10 15:50:01+00:00,41.880543228,-87.642997936,"(41.880543228, -87.642997936)"
6951830,HR335489,2009-05-22 15:30:00+00:00,001XX N CLINTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,111,1,42,28,08B,1172695.0,1901460.0,2009,2018-02-28 15:56:25+00:00,41.885044481,-87.641289569,"(41.885044481, -87.641289569)"
10955918,JA276622,2017-05-23 11:00:00+00:00,0000X W WASHINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,GOVERNMENT BUILDING/PROPERTY,True,True,111,1,42,32,08B,1175800.0,1900817.0,2017,2018-02-10 15:50:01+00:00,41.883210775,-87.629906972,"(41.883210775, -87.629906972)"
13579883,JH407194,2024-08-29 15:25:00+00:00,0000X W WASHINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,111,1,42,32,08B,1175800.0,1900817.0,2024,2025-05-17 15:40:52+00:00,41.883210775,-87.629906972,"(41.883210775, -87.629906972)"
3336508,HK374448,2004-05-19 12:00:00+00:00,003XX W ADAMS ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,False,True,111,1,2,32,04A,1173813.0,1899392.0,2004,2021-09-07 15:41:02+00:00,41.879344947,-87.637245723,"(41.879344947, -87.637245723)"
13217066,JG432016,2023-09-20 16:05:00+00:00,001XX N STATE ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESTAURANT,True,False,111,1,42,32,04A,1176330.0,1901657.0,2023,2023-09-28 15:42:39+00:00,41.885503844,-87.627935448,"(41.885503844, -87.627935448)"
